scientific_name,common_name
Troglodytes troglodytes,Wren
Erithacus rubecula,Robin
Passer domesticus,House Sparrow
Columba palumbus,Woodpigeon
Fringilla coelebs,Chaffinch
Turdus merula,Blackbird
Cyanistes caeruleus,Blue Tit
Sturnus vulgaris,Starling
Parus major,Great Tit
Carduelis carduelis,Goldfinch
Prunella modularis,Dunnock
Aegithalos caudatus,Long-tailed Tit
Corvus corone,Carrion Crow
Pica pica,Magpie
Columba livia,Feral Pigeon (Rock Dove)
Corvus monedula,Jackdaw
Phylloscopus collybita,Chiffchaff
Turdus philomelos,Song Thrush
Chloris chloris,Greenfinch
Streptopelia decaocto,Collared Dove
Periparus ater,Coal Tit
Phylloscopus trochilus,Willow Warbler
Sylvia atricapilla,Blackcap
Corvus frugilegus,Rook
Garrulus glandarius,Jay (Eurasian Jay)
